decade,word,tf
1450-1500,decreti,0.00881057268722467
1450-1500,decretor,0.004405286343612335
1450-1500,deo,0.004405286343612335
1450-1500,diaconu,0.004405286343612335
1450-1500,dicit,0.004405286343612335
1450-1500,directori,0.004405286343612335
1450-1500,discordantiu,0.004405286343612335
1450-1500,diuidu,0.004405286343612335
1450-1500,duce,0.004405286343612335
1450-1500,earli,0.004405286343612335
1450-1500,edg,0.01762114537444934
1450-1500,endet,0.013215859030837005
1450-1500,endpap,0.004405286343612335
1450-1500,erscheinungsvermerk,0.004405286343612335
1450-1500,et,0.004405286343612335
1450-1500,ex,0.00881057268722467
1450-1500,explicit,0.004405286343612335
1450-1500,fillet,0.004405286343612335
1450-1500,fini,0.00881057268722467
1450-1500,five,0.004405286343612335
1450-1500,flo,0.004405286343612335
1450-1500,flosculi,0.004405286343612335
1450-1500,flyleaf,0.004405286343612335
1450-1500,form,0.004405286343612335
1450-1500,fragment,0.004405286343612335
1450-1500,french,0.004405286343612335
1450-1500,front,0.004405286343612335
1450-1500,gallici,0.004405286343612335
1450-1500,gilt,0.04405286343612335
1450-1500,got,0.004405286343612335
1450-1500,gratia,0.004405286343612335
1450-1500,gw,0.00881057268722467
1450-1500,half,0.004405286343612335
1450-1500,huiu,0.00881057268722467
1450-1500,impensa,0.004405286343612335
1450-1500,impressu,0.004405286343612335
1450-1500,incipit,0.004405286343612335
1450-1500,inclyto,0.004405286343612335
1450-1500,industria,0.004405286343612335
1450-1500,inter,0.004405286343612335
1450-1500,iulia,0.00881057268722467
1450-1500,iuri,0.00881057268722467
1450-1500,jenson,0.004405286343612335
1450-1500,jn,0.004405286343612335
1450-1500,johann,0.004405286343612335
1450-1500,kein,0.004405286343612335
1450-1500,kolophon,0.004405286343612335
1450-1500,label,0.00881057268722467
1450-1500,leather,0.02643171806167401
1450-1500,leav,0.013215859030837005
1450-1500,libri,0.004405286343612335
1450-1500,lost,0.004405286343612335
1450-1500,manuscript,0.004405286343612335
1450-1500,marbl,0.00881057268722467
1450-1500,marcello,0.004405286343612335
1450-1500,marij,0.004405286343612335
1450-1500,maxi,0.004405286343612335
1450-1500,mikrofich,0.022026431718061675
1450-1500,nach,0.004405286343612335
1450-1500,neuu,0.004405286343612335
1450-1500,nicolai,0.004405286343612335
1450-1500,nicolao,0.004405286343612335
1450-1500,omnibu,0.004405286343612335
1450-1500,omniu,0.004405286343612335
1450-1500,one,0.004405286343612335
1450-1500,paper,0.004405286343612335
1450-1500,parchment,0.00881057268722467
1450-1500,pastedown,0.004405286343612335
1450-1500,pigskin,0.004405286343612335
1450-1500,plurimam,0.004405286343612335
1450-1500,plurimum,0.004405286343612335
1450-1500,pontific,0.004405286343612335
1450-1500,portfolio,0.004405286343612335
1450-1500,print,0.004405286343612335
1450-1500,quarter,0.00881057268722467
1450-1500,quarto,0.004405286343612335
1450-1500,que,0.004405286343612335
1450-1500,questionum,0.004405286343612335
1450-1500,rais,0.004405286343612335
1450-1500,red,0.00881057268722467
1450-1500,reveal,0.004405286343612335
1450-1500,roll,0.01762114537444934
1450-1500,rto,0.00881057268722467
1450-1500,rum,0.004405286343612335
1450-1500,salutem,0.004405286343612335
1450-1500,sanct,0.004405286343612335
1450-1500,saur,0.022026431718061675
1450-1500,scholarib,0.004405286343612335
1450-1500,schr,0.004405286343612335
1450-1500,seu,0.00881057268722467
1450-1500,singl,0.004405286343612335
1450-1500,singulari,0.004405286343612335
1450-1500,singuli,0.004405286343612335
1450-1500,six,0.004405286343612335
1450-1500,sixto,0.004405286343612335
1450-1500,spine,0.013215859030837005
1450-1500,stamp,0.01762114537444934
1450-1500,stude,0.004405286343612335
1450-1500,su,0.00881057268722467
1450-1500,summarium,0.004405286343612335
1450-1500,tabula,0.004405286343612335
1450-1500,teilausg,0.004405286343612335
1450-1500,textbeginn,0.00881057268722467
1450-1500,textend,0.004405286343612335
