decade,word,tfidf
1450-1500,impressu,0.08813811348760243
1450-1500,incipit,0.08813811348760243
1450-1500,inclyto,0.08813811348760243
1450-1500,industria,0.08813811348760243
1450-1500,inter,0.08813811348760243
1450-1500,iulia,0.17627622697520487
1450-1500,iuri,0.17627622697520487
1450-1500,jenson,0.08813811348760243
1450-1500,jn,0.08813811348760243
1450-1500,johann,0.08813811348760243
1450-1500,kein,0.08813811348760243
1450-1500,kolophon,0.08813811348760243
1450-1500,label,0.33575090389322393
1450-1500,leather,0.32902665816523835
1450-1500,leav,0.2644143404628073
1450-1500,libri,0.3167123272760099
1450-1500,lost,0.31962860262102877
1450-1500,manuscript,0.326518035901381
1450-1500,marbl,0.22037153466061513
1450-1500,marcello,0.08813811348760243
1450-1500,marij,0.08813811348760243
1450-1500,maxi,0.08813811348760243
1450-1500,mikrofich,0.7071067811865475
1450-1500,nach,0.08813811348760243
1450-1500,neuu,0.08813811348760243
1450-1500,nicolai,0.08813811348760243
1450-1500,nicolao,0.08813811348760243
1450-1500,omnibu,0.08813811348760243
1450-1500,omniu,0.3167123272760099
1450-1500,one,0.2530464902813161
1450-1500,paper,0.2530464902813161
1450-1500,parchment,0.8230198318216847
1450-1500,pastedown,0.326518035901381
1450-1500,pigskin,0.326518035901381
1450-1500,plurimam,0.08813811348760243
1450-1500,plurimum,0.08813811348760243
1450-1500,pontific,0.08813811348760243
1450-1500,portfolio,0.5
1450-1500,print,0.31962860262102877
1450-1500,quarter,0.7071067811865476
1450-1500,quarto,0.08813811348760243
1450-1500,que,0.08813811348760243
1450-1500,questionum,0.3167123272760099
1450-1500,rais,0.2530464902813161
1450-1500,red,0.33575090389322393
1450-1500,reveal,0.31962860262102877
1450-1500,roll,0.46691652597422445
1450-1500,rto,0.17627622697520487
1450-1500,rum,0.08813811348760243
1450-1500,salutem,0.08813811348760243
1450-1500,sanct,0.08813811348760243
1450-1500,saur,0.7071067811865475
1450-1500,scholarib,0.08813811348760243
1450-1500,schr,0.5928337189675393
1450-1500,seu,0.17627622697520487
1450-1500,singl,0.2680736156193737
1450-1500,singulari,0.08813811348760243
1450-1500,singuli,0.08813811348760243
1450-1500,six,0.2530464902813161
1450-1500,sixto,0.08813811348760243
1450-1500,spine,0.3004296581600495
1450-1500,stamp,0.23123805308947
1450-1500,stude,0.08813811348760243
1450-1500,su,0.17627622697520487
1450-1500,summarium,0.08813811348760243
1450-1500,tabula,0.3167123272760099
1450-1500,teilausg,0.08813811348760243
1450-1500,textbeginn,0.17627622697520487
1450-1500,textend,0.08813811348760243
1450-1500,three,0.5
1450-1500,tibu,0.08813811348760243
1450-1500,titelbl,0.08813811348760243
1450-1500,titl,0.2530464902813161
1450-1500,tool,0.38553340371207195
1450-1500,toti,0.08813811348760243
1450-1500,trinitati,0.08813811348760243
1450-1500,ua,0.17627622697520487
1450-1500,ue,0.08813811348760243
1450-1500,uenetij,0.08813811348760243
1450-1500,ueneto,0.08813811348760243
1450-1500,um,0.08813811348760243
1450-1500,unbound,0.5
1450-1500,uoniam,0.08813811348760243
1450-1500,us,0.17627622697520487
1450-1500,utila,0.08813811348760243
1450-1500,vale,0.08813811348760243
1450-1500,venetij,0.08813811348760243
1450-1500,vincentia,0.08813811348760243
1450-1500,visibl,0.326518035901381
1450-1500,volum,0.31962860262102877
1450-1500,von,0.08813811348760243
1450-1500,vorlageform,0.08813811348760243
1450-1500,wast,0.2843559718451864
1450-1500,watermark,0.29225119007746075
1450-1500,wooden,0.326518035901381
1500-1550,abattista,0.1717587316271307
1500-1550,abent,0.24648319727361195
1500-1550,ac,0.28082318469619183
1500-1550,ad,0.19884371492947603
1500-1550,adam,1.0
1500-1550,addit,0.24749718744428992
1500-1550,aedibv,0.39454660814032566
1500-1550,aii,0.24749718744428992
1500-1550,alexandri,0.438351641771658
1500-1550,ali,0.09315195951850452
1500-1550,alia,0.11197889803934422
1500-1550,almost,0.21163560861788605
1500-1550,along,0.1497790087047689
1500-1550,also,0.1302737645251248
1500-1550,animatu,0.09315195951850452
1500-1550,ann,0.22395779607868843
1500-1550,anna,0.2438919637367843
1500-1550,anni,0.28377708983918104
1500-1550,anno,0.5331201085523699
