decade,word,tf
1500-1550,oringaw,1
1500-1550,orkney,1
1500-1550,ornament,1
1500-1550,ottobr,1
1500-1550,ouidii,1
1500-1550,page,11
1500-1550,papam,1
1500-1550,paper,1
1500-1550,paredu,1
1500-1550,parisii,3
1500-1550,partu,1
1500-1550,parui,1
1500-1550,paruum,1
1500-1550,pastedown,2
1500-1550,paul,1
1500-1550,pedrezano,2
1500-1550,pennsylvania,1
1500-1550,per,5
1500-1550,petri,1
1500-1550,petrv,1
1500-1550,peypu,1
1500-1550,philomena,1
1500-1550,poiein,1
1500-1550,polonia,1
1500-1550,portrait,1
1500-1550,praelo,1
1500-1550,praeminentia,1
1500-1550,prato,1
1500-1550,press,1
1500-1550,pressmark,1
1500-1550,prima,1
1500-1550,primatu,1
1500-1550,primu,1
1500-1550,probabl,1
1500-1550,proder,1
1500-1550,progeni,1
1500-1550,proven,1
1500-1550,psalteri,1
1500-1550,pulcra,1
1500-1550,qua,1
1500-1550,quandum,1
1500-1550,quant,1
1500-1550,quasi,1
1500-1550,quatuor,1
1500-1550,quot,1
1500-1550,ragium,1
1500-1550,read,1
1500-1550,recto,4
1500-1550,refer,2
1500-1550,reg,1
1500-1550,regia,1
1500-1550,regnu,1
1500-1550,reuisi,1
1500-1550,rhau,1
1500-1550,ri,1
1500-1550,ro,1
1500-1550,robertvm,1
1500-1550,roigni,1
1500-1550,roman,1
1500-1550,romanorem,1
1500-1550,rosari,1
1500-1550,roscou,1
1500-1550,rynman,1
1500-1550,sanct,1
1500-1550,sancta,2
1500-1550,sanctum,1
1500-1550,saur,28
1500-1550,sch,1
1500-1550,scharffenbergk,1
1500-1550,schoeffer,1
1500-1550,schottu,1
1500-1550,schr,2
1500-1550,se,2
1500-1550,secerum,1
1500-1550,second,1
1500-1550,semp,1
1500-1550,seri,1
1500-1550,sermon,1
1500-1550,shaaber,1
1500-1550,si,1
1500-1550,signor,1
1500-1550,sino,1
1500-1550,sir,1
1500-1550,ssi,1
1500-1550,stampato,1
1500-1550,start,1
1500-1550,stc,1
1500-1550,sub,2
1500-1550,sumptib,1
1500-1550,sunt,2
1500-1550,tausent,1
1500-1550,teilw,5
1500-1550,terciu,1
1500-1550,text,5
1500-1550,third,1
1500-1550,thoma,1
1500-1550,throughout,1
1500-1550,tigvri,2
1500-1550,tinet,1
1500-1550,titelbl,1
1500-1550,titl,7
1500-1550,titlepag,1
1500-1550,tota,1
1500-1550,trocisti,1
1500-1550,tvbinga,1
1500-1550,uia,1
1500-1550,uidi,1
1500-1550,univers,1
1500-1550,unread,1
1500-1550,upper,1
1500-1550,us,4
1500-1550,valentinvm,1
1500-1550,vann,1
1500-1550,veit,1
1500-1550,venetia,1
1500-1550,verb,1
1500-1550,verso,4
1500-1550,via,1
1500-1550,vid,1
1500-1550,vigio,1
1500-1550,virgini,1
1500-1550,vita,1
1500-1550,vite,1
1500-1550,viteberga,1
1500-1550,vnd,1
1500-1550,vnnd,1
1500-1550,volendet,1
1500-1550,vueissenhorn,1
1500-1550,vvinter,1
1500-1550,wittemberg,2
1500-1550,woodcut,1
1500-1550,word,1
1500-1550,written,1
1500-1550,wythi,1
1500-1550,wyttenbach,1
1500-1550,zu,2
1500-1550,αει,1
1500-1550,βλεπω,1
1500-1550,βραδεως,1
1500-1550,γαρ,1
1500-1550,γησαφεος,1
1500-1550,γω,1
1500-1550,γων,1
1500-1550,δοκων,1
1500-1550,επι,1
1500-1550,εσανασ,1
1500-1550,εστ,1
1500-1550,ευγη,1
1500-1550,μοι,1
1500-1550,μονου,1
1500-1550,οθευευ,1
1500-1550,οθι,1
1500-1550,ουδενεν,1
1500-1550,ουρη,1
1500-1550,πεση,1
1500-1550,σαφεσατου,1
1500-1550,σοι,1
1500-1550,σπευδε,1
1500-1550,το,1
1500-1550,των,1
1550-1600,abendtm,1
1550-1600,aber,1
