decade,word,tfidf
1450-1500,huius,0.39066288556088896
1450-1500,impensa,0.08874633470378115
1450-1500,impressus,0.08874633470378115
1450-1500,incipit,0.08874633470378115
1450-1500,inclyto,0.08874633470378115
1450-1500,industria,0.08874633470378115
1450-1500,inter,0.08874633470378115
1450-1500,iulias,0.1774926694075623
1450-1500,iuri,0.08874633470378115
1450-1500,iuris,0.08874633470378115
1450-1500,jenson,0.08874633470378115
1450-1500,jn,0.08874633470378115
1450-1500,johannes,0.08874633470378115
1450-1500,kein,0.08874633470378115
1450-1500,kolophon,0.08874633470378115
1450-1500,label,0.332041033392719
1450-1500,leather,0.32492090835686016
1450-1500,leaves,0.26623900411134344
1450-1500,libri,0.3129434019393691
1450-1500,lost,0.31340277503058567
1450-1500,manuscript,0.3223187678931624
1450-1500,marbled,0.21762163472469434
1450-1500,marcello,0.08874633470378115
1450-1500,marij,0.08874633470378115
1450-1500,maxi,0.08874633470378115
1450-1500,mikrofiche,0.7071067811865475
1450-1500,nach,0.08874633470378115
1450-1500,neuus,0.08874633470378115
1450-1500,nicolai,0.08874633470378115
1450-1500,nicolao,0.08874633470378115
1450-1500,omnibus,0.08874633470378115
1450-1500,omniu,0.3129434019393691
1450-1500,one,0.2498888568397683
1450-1500,paper,0.2498888568397683
1450-1500,parchment,0.7758484328473114
1450-1500,pastedowns,0.3223187678931624
1450-1500,pigskin,0.3223187678931624
1450-1500,plurimam,0.08874633470378115
1450-1500,plurimum,0.08874633470378115
1450-1500,pontifice,0.08874633470378115
1450-1500,portfolio,0.5
1450-1500,printed,0.31340277503058567
1450-1500,quarter,0.7071067811865476
1450-1500,quarto,0.08874633470378115
1450-1500,que,0.08874633470378115
1450-1500,questionum,0.3129434019393691
1450-1500,raised,0.2498888568397683
1450-1500,red,0.332041033392719
1450-1500,revealing,0.31340277503058567
1450-1500,rolled,0.45870170983153447
1450-1500,rto,0.1774926694075623
1450-1500,rum,0.08874633470378115
1450-1500,salutem,0.08874633470378115
1450-1500,sancte,0.08874633470378115
1450-1500,saur,0.7071067811865475
1450-1500,scholarib,0.08874633470378115
1450-1500,schr,0.5928337189675393
1450-1500,seu,0.1774926694075623
1450-1500,single,0.2633571934271533
1450-1500,singulari,0.08874633470378115
1450-1500,singulis,0.08874633470378115
1450-1500,six,0.2498888568397683
1450-1500,sixto,0.08874633470378115
1450-1500,spine,0.332041033392719
1450-1500,spines,0.31340277503058567
1450-1500,stamp,0.2845911620537757
1450-1500,stamped,0.25116920174582275
1450-1500,stude,0.08874633470378115
1450-1500,su,0.1774926694075623
1450-1500,summarium,0.08874633470378115
1450-1500,tabula,0.3129434019393691
1450-1500,teilausg,0.08874633470378115
1450-1500,textbeginn,0.1774926694075623
1450-1500,textende,0.08874633470378115
1450-1500,three,0.5
1450-1500,tibus,0.08874633470378115
1450-1500,titelbl,0.08874633470378115
1450-1500,title,0.2498888568397683
1450-1500,tooled,0.38127346283088365
1450-1500,toti,0.08874633470378115
1450-1500,trinitatis,0.08874633470378115
1450-1500,ua,0.1774926694075623
1450-1500,ue,0.08874633470378115
1450-1500,uenetijs,0.08874633470378115
1450-1500,ueneto,0.08874633470378115
1450-1500,um,0.08874633470378115
1450-1500,unbound,0.5
1450-1500,uoniam,0.08874633470378115
1450-1500,us,0.1774926694075623
1450-1500,utila,0.08874633470378115
1450-1500,vale,0.08874633470378115
1450-1500,venetijs,0.08874633470378115
1450-1500,vincentia,0.08874633470378115
1450-1500,visible,0.3223187678931624
1450-1500,volumes,0.31340277503058567
1450-1500,von,0.08874633470378115
1450-1500,vorlageform,0.08874633470378115
1450-1500,waste,0.28069893975438925
1450-1500,watermark,0.2845911620537757
1450-1500,wooden,0.3223187678931624
1500-1550,abattista,0.17136287983413898
1500-1550,abent,0.24648319727361195
1500-1550,ac,0.28082318469619183
1500-1550,ad,0.17741487253472035
1500-1550,adam,0.2037373900489843
1500-1550,adams,1.0
1500-1550,addition,0.24713852495917107
1500-1550,ads,0.12228008557861024
1500-1550,aedibvs,0.39454660814032566
1500-1550,aii,0.24713852495917107
1500-1550,alexandri,0.438351641771658
1500-1550,ali,0.09169737095152877
1500-1550,alia,0.11228569425130515
