author,creator,titles,dates,publishers,languages,subjects,descriptions,earliest_year,latest_year,Frequency,urls
Author of Handley Cross,['Author of Handley Cross.'],"[""Mr. Sponge's sporting tour / ""]",[1892.0],"['London, ']",['eng'],[nan],[nan],1892.0,1892.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTOcrhmimKomUzBKIweqy2xqMMzrQbiTPbMm1rMwTVSfoAWIbzjuSs-E_70laU&s']
Mary Cosh,"['Cosh, Mary,1924-']",[[Angus McBean in Islington]],[1982.0],['London Isledon Publications Trust'],['eng'],['London (England) in art.'],[nan],1982.0,1982.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTsVD3Cjx25zFa53zDJd_SalxQnUKLzK8Q_n6otksKvKGya8CdVAmgccxHtmcw&s']
P. L. Wickins,"['Wickins, P. L.,1925-']","[""The Industrial and Commercial Workers' Union of Africa""]",[1978.0],['Cape Town Oxford Oxford University Press'],['eng'],"[""Industrial and Commercial Workers' Union of Africa.""]",['Bibliography: p.211-215. - Includes index'],1978.0,1978.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQirS9eovsS5ADJCIjAT5nCknQqLwOyURLHNPO0dGnbGzqfzSw_FVnVnlw2&s']
Robert M. Stein,"['Stein, Robert M.,1943-']","[[Reality fictions : romance, history, and governmental authority, 1025-1180 /]]",[2006.0],"['Notre Dame, Ind. : University of Notre Dame Press,']",['eng'],['Historiography'],['Includes bibliographical references (p. 263-283) and index.'],2006.0,2006.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSvfBU52ClXd0uMRm3a1lJe0K2dokmv_qP72w5c2CGOe9j-On0fVrIO0GTQ8Q&s']
John Foxe,"['Foxe, John,1516-1587.', 'Foxe, John,1516-1587.']","[[""Foxs original and complete book of martyrs; or, an universal history of martyrdom. ... The whole originally composed by the Rev. John Fox, ... A new edition. Now carefully revised, corrected, and improved, by a minister of the gospel. ... Embellished with near 300 elegant engravings."", The history of the ten persecutions in the primitive church. To which is added, An account of the martyrdom of John Huss and Jerome of Prague; ...]]","[1795.0, 1761.0]","['London : printed for Alex. Hogg; and sold by the booksellers of Bath, Bristol, Birmingham, Canterbury, Cambridge, Coventry, Chester, Derby, Exeter, Gloucester, Hereford, Hull, Ipswich, Leeds, Liverpool, Leicester, Manchester, Newcastle, Norwich, Nottingham, Northampton, Oxford, Reading, Salisbury, Sherborn, Sheffield, Shrewsbury, Worcester, Winchester, York; and by all other booksellers and newsmen,', 'Edinburgh printed by John Gray and Gavin Alston, ... for Andrew Leslie. Sold by him, ...']","['eng', 'eng']","[nan, 'Persecution']","['ESTC', 'ESTC']",1761.0,1795.0,2,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQCbgIEb-sPC_T9_Y6BPzpNhpeIdO8Bt7aIgwdWhovYvx2wT0vhmNMF_RZITkg&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT6bOFV_4StqJetdsENbajkxfQcgSSpCBBK0MnmB9jcbjZrzaG8GGN-YAkGXA&s']"
David Needham,"['Needham, David,1954-']",[[Marketing for higher awards /]],[1999.0],"['Oxford : Heinemann Educational,']",['eng'],['Marketing.'],['Includes bibliographical references.'],1999.0,1999.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQIAlVpdDIojA_9x_OgO7HfOlDPAAC-JerTZFjUr4hY7jNHC4rpTp49scGA4Lk&s']
Josephine Bell,"['Bell, Josephine,1897-1987.', 'Bell, Josephine,1897-1987.', 'Bell, Josephine,1897-1987.', 'Bell, Josephine,1897-1987.']","[[No escape, Fall over cliff., The Summer School mystery., Death of a con man]]","[1970.0, 1938.0, 1950.0, 1970.0]","['London Hodder Paperbacks', 'London, ', 'London, ', 'Glenfield F.A. Thorpe']","['eng', 'eng', 'eng', 'eng']","[nan, nan, nan, nan]","['Originally published (B65-8245), London: Hodder & Stoughton, 1965', nan, nan, 'Originally published (B68-05941), London: Hodder & Stoughton, 1968']",1938.0,1970.0,4,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjvqyycp0fivzIedY-os1HrDrxSxfXmbMlho9EaP87QMYiUwmWdG0LMFSXLQ&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQA9kD7THuAx0I4XPMr1YYmk0XRq7rV6OZgzK3Oy5Bsi-iHQmmxP7ptH4Yo3Q&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQDiybhOkIn8uDWymgioIqC09CLPMpRivk9oK4hV-CoB2_XRI9M_M7o0EZk5g&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQDPMf18UtsGz_zLOug0KiVk_jctwxfSna1N7diZBYQOR2bbIavHRa0wEETdlQ&s']"
Friedrich Wilhelm Nietzsche,"['Nietzsche, Friedrich Wilhelm,1844-1900.', 'Nietzsche, Friedrich Wilhelm,1844-1900.Nietzsche contra Wagner.English.']","[[Thus spake Zarathustra ... /, The case against Wagner /]]","[1901.0, 1910.0]","['London,', 'Edinburgh : T.N. Foulis,']","['eng', 'eng']","[nan, 'Wagner, Richard, 1813-1883.']","[nan, 'I. The case of Wagner -- II. Nietzsche contra Wagner.']",1901.0,1910.0,2,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQHI5GNLL6Zvi2KmY0f3TBElF-z3vEZtHBWNOMGR-Fed7rcDPKeGdio6VgWCw&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR7VPGMGUOam2nbIXBVKcJJFZkJkt8pqzPcWO-HmzdozXUC0R7QyZYdhNKHnw&s']"
James Lucas,"['Lucas, James,1923-']",[[Command from Alexander the Great to Zhukov - the greatest commanders of world history]],[1988.0],['London Bloomsbury Publishing'],['eng'],[nan],[nan],1988.0,1988.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTgNUFL_bYfJJDA3gwE8Lef0I41LyjZgo5HHnVpnmHCkgNMQsXymW1JQX-fJl4&s']
LouisMarie Clenet,"['Clénet, Louis-Marie,1948-']",[[Les colonnes infernales /]],[1993.0],"['Paris : Perrin,']",['fre'],"['Vendean War, 1793-1800']",['Includes bibliographical references (p. [325]-327)'],1993.0,1993.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQhMK6KVkTmr5aQ-hwhO4nuen7oqfgJOmexiB-ZFdiks7PN5Zp7nL8doTJ8CdU&s']
