author,creator,titles,dates,publishers,languages,subjects,descriptions,earliest_year,latest_year,Frequency,urls
Gamel Woolsey,"['Woolsey, Gamel,1895-1968.']",[[Twenty eight sonnets]],[1977.0],['North Walsham Warren House Press'],['eng'],['American poetry.'],[nan],1977.0,1977.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2XBv8FCetrbtAa0iPYwCIcFt-uRC4n7UTlhPqb70a94PEwxpps5U_5WKcZg&s']
Joshua Middleton,"['Middleton, Joshua,1647-1720.']",[[A tender and compassionate call to prophane swearers. And takers of the holy name of God in vain. By Joshua Middleton.]],[1708.0],"['London : printed and sold by J. Sowle,']",['eng'],[nan],['ESTC'],1708.0,1708.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRKqyOiBXiOLa_XEgz_oZDHM65Kdd6JAkuYRUp41j9dDyTPohT-B5CwGjgo4g&s']
H. C. Bailey,"['Bailey, H. C.(Henry Christopher),1878-1961.', 'Bailey, H. C.(Henry Christopher),1878-1961.']","[[The gentleman adventurer., The pillar of fire.]]","[1914.0, 1918.0]","['London, ', 'London, ']","['eng', 'eng']","[nan, nan]","[nan, nan]",1914.0,1918.0,2,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQTCwNoM_foaVAtiIvG-UEUvRWyF8ZnLXxQ1DBNmNzNMl2sfoUEAG7No-3IUA&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS7gvd7qOx6u7EgJpJCtXTtfbgFAezPUlx0nJzq85dqyPsyZDEkw4_qjzQPHg&s']"
Donald Maclean,"['Maclean, Donald,1869-1943.']",[[Duthil : past and present /]],[1910.0],"['Inverness : Northern Counties Newspaper and Print. and Pub. Co. ; Edinburgh : J. Thin,']",['eng'],['Parishes'],[nan],1910.0,1910.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnBY4NJ2D2C2SXujnpnLtU6OZDW7bX-UBZLO4ztt4h39rDuQ9rkOeIXLGzLnQ&s']
John Henry Newman,"['Newman, John Henry,1801-1890.', 'Newman, John Henry,1801-1890.']","[[The church of the fathers., The life of Apollonius Tyanaeus. With a comparison between the miracles of scripture and those elsewhere related, as regards their respective object, nature, and evidence. Reprinted from the original edition [in Edward Smedley\s ""Encyclopaedia Metropolitana"".]]]","[1868.0, 1860.0]","['London,', '[S.l.,']","['eng', 'eng']","[nan, nan]","[nan, nan]",1860.0,1868.0,2,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQXyRDMYyh8JXL8WyxUmUMvMhNFjsSkrpb_8dk9ZCbPwleQHsCmWJGq0lpdgg&s', 'https://www.uoduckstore.com/TDS%20Product%20Images/QuickStudy%20Book%20for%20Calculus_1.jpg?resizeid=3&resizeh=195&resizew=195']"
Jean Devanny,"['Devanny, Jean,1894-1962.', 'Devanny, Jean,1894-1962.']","[[The ghost wife., Lenore divine.]]","[1935.0, 1926.0]","['London, ', 'London, ']","['eng', 'eng']","[nan, nan]","[nan, nan]",1926.0,1935.0,2,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ27INUxJqI1PYstO_m28wmct_pmR5BZ-9AmxVxop__Jq7Akx4XQebqUggLCtw&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTMVP95h3pQABxB511lhjYGFtZr6wuvWVYXwPD51TplVqTPIbND0JPwwP6sjY8&s']"
James Moore,"['Moore, James.', 'Moore, James,1929-', 'Moore, James,1819-1883.']","[[Jacques Lipchitz: sketches in bronze /, Gurdjieff : a biography /, James Moore 1819-1883 : a catalogue of the exhibition with an introduction and an appendix listing the remaining works by James Moore in the Ulster Museum collections : Ulster Museum, 15th August-24th September 1973 /]]","[1969.0, 1999.0, 1973.0]","['London Pall Mall P', 'Shaftesbury : Element,', 'Belfast : Ulster Museum,']","['eng', 'eng', 'eng']","['Lipchitz, Jacques, 1891-', 'Philosophers', 'Moore, James, 1819-1883.']","['bibl p30-32', 'Includes bibliographical references and index.', 'Includes bibliographical references and index.']",1969.0,1999.0,3,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8eahO89ugp4Fc8a7lxYhqyF_2CC8cfRfonBN84adQSkhEbKEFSMfnwQP7Sw&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQdJplKAilq5UrSYaDDeZA7ZKYKjEYX47CU8ZgPnyQin6U7u1rF9DfDNSFZNeE&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRAqPVQp2xWEBXkxIs3TExTihHHTmkwXTxjoxGPfqSsH0gtQ2IkDvgDbvJVsjw&s']"
Thomas Wells Bray,"['Bray, Thomas Wells,1738-1808.']","[[The duty of living and dying to the Lord, considered, in a sermon, delivered at the funeral of the Rev. Amos Fowler, A.M. Pastor of the First Church in Guilford: who died February 10th, 1800, aet. 72 years, and in the 43d of his ministry. Now published, by the desire and at the expence of the bereaved congregation. By Thomas Wells Bray, A.M. Pastor of the Third Church in Guilford. [One line from I Corinthians]]]",[1800.0],"['Middletown [Conn.] : Printed by T. & J.B. Dunning,']",['eng'],[nan],"['Evans 37037; Trumbull, J.H. Connecticut, 390']",1800.0,1800.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQdzdQ_sc4pOpZPEq910gW_YZmqozEkHgIkHtGDpJUASTKUJLgt0MPu7eet5g&s']
Pierre Corneille,"['Corneille, Pierre,1606-1684.']",[[Corneille. [Extracts from] Le Cid - Horace - Polyeucte - Rodogune - Nicomede. [In shorthand.]]],[1893.0],"['Paris,']",['fre'],[nan],[nan],1893.0,1893.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTG9uiQ397MjFwkUGpQiw8tfhkjyIrcgnbSw3bnx5KzvWC-sYvVG32ZkaAamw&s']
Antoni Sonimski,"['Słonimski, Antoni,1895-1976.']",[[Dzieła /]],[1959.0],"['Warszawa,']",['pol'],[nan],[nan],1959.0,1959.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRY3JTEG3nkgwU5bSu7cBg_q12weR122UQvpZKyQQoJ5-H1CMWKOn_tIZFd744&s']
David Dilks,"['Dilks, David,1938-']",[[Curzon in India [in 2vols]]],[1969.0],"['London Hart-Davis,']",['eng'],"['Curzon, George Nathaniel Curzon, Marquis of, 1859-1925.']",[nan],1969.0,1969.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSoZCcuUZnglaG_RqsOLbCtba2Mkv9kJnLVgfRe-hQ-B_Auo8VyglPnfUn3g9I&s']
George Whitefield,"['Whitefield, George,1714-1770.', 'Whitefield, George,1714-1770.', 'Whitefield, George,1714-1770.', 'Whitefield, George,1714-1770.aut', 'Whitefield, George,1714-1770.']","[[Sermons on various subjects. Viz. I. Of our new birth in Christ Jesus. ... X. Thankfulness for mercies received a necessary duty. By George Whitefield, ..., A collection of hymns for social worship ... by George Whitefield. ..., ""Ten sermons on the following subjects; viz. I. Christ, the believers husband. ... X. The conversion of Zaccheus. By Mr. George Whitefield."", ""A letter to the Reverend Mr. George Whitefield, by way of reply to his answer to the college testimony against him and his conduct. By Edward Wigglesworth, D.D. Professor of divinity in said college. To which is added, the Reverend presidents answer to the things chargd upon him by the said Mr. Whitefield, as inconsistences. [Six lines from II. Corinthians]."", Fifteen sermons preached on various important subjects By George Whitefield, ... Carefully corrected and revised ... To which is prefixed a sermon, on the character, preaching, &c. of the Rev. Mr. Whitefield. By Joseph Smith, V.D.M.]]","[1739.0, 1795.0, 1751.0, 1745.0, 1794.0]","['London : printed for C. Rivington, and J. Hutton,', 'London : printed and published by G. Thompson,', 'Glasgow : printed by W. Mitchell and J. Knox, for John Smith book-binder,', 'Boston, N.E. : Printed and sold by T. Fleet, at the Heart and Crown in Cornhill,', 'Paisley : printed by J. Neilson, for J. Gillies, Glasgow,']","['eng', 'eng', 'eng', 'eng', 'eng']","[nan, nan, nan, nan, nan]","['ESTC', 'ESTC', 'ESTC', 'Evans 5715', 'ESTC']",1739.0,1795.0,5,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSjLfVmzuQKGgazyBX13Es-0jH2P0QLBdLy1-oli0tDmzSb3yEMhXOy-UvIQ&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRuXqSxoTkf6gJU8I4WC8FZirZbXtadjvYzyN5coOzX0aOMahop-HyM3FBeluM&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSQYogU_y6-RY5wb2Qj2doXNKoSzPMrGlhGKiMx3BlNBWklJA3KupZbDrxgEA&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRFV39kkOaQWNozrrxX7mg47A498Zjs_o33qM_wC6e2btIz6Ba_sO75bGRTtA&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS16fNZSCQoIpgxQcC8f6d4YTLEin_L-l-41_fiyEH1R_MjR2rA01j_pthB&s']"
Keith Williams,"['Williams, Keith,1945-']",[[One dog and his man : a 2001 farming diary /]],[2002.0],"['Usk : Oakwood Press,']",['eng'],['Foot-and-mouth disease'],[nan],2002.0,2002.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTusGlQu8lEBDyJo6cRqr52oNnG9hPAL_TNhFWm5pkIjlCqZYXDhPkdCYT5NmI&s']
Richard Hollingworth,"['Hollingworth, Richard,1607-1656.']","[""An answer to a certain writing, entituled, Certain doubts and quaere's upon occasion of the late oath and covenant, with desire of satisfaction, for tender conscienced people, to whom it may be exhibited..""]",[1643.0],"['London, : Printed for Luke Fawne ...,']",['eng'],['Solemn League and Covenant (1643)'],['Wing (2nd ed.)'],1643.0,1643.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRipglQdwRmch2R7t7FFvG4GIIHsFajYJjHPYp0mifAbpFvmSfdr4FvgymwX8w&s']
Robert Taylor,"['Taylor, Robert,1946-']",[[The air combat paintings of Robert Taylor /]],[1987.0],['Newton Abbot David & Charles'],['eng'],"['Airplanes, Military in art.']",[nan],1987.0,1987.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRlW9dYSEVmxgO-eliJf2-qEieqq1DOl6Up7Htwheg03b39ouTcH52LEee9n0M&s']
Arthur H. Haley,"['Haley, Arthur H.(Arthur Henry),1912-', 'Haley, Arthur H.(Arthur Henry),1912-']","[[The Munro letters /, The soldier who walked away : autobiography of Andrew Pearson : a Peninsular War veteran /]]","[1992.0, 1987.0]","['Liverpool : Bullfinch,', 'Liverpool Bullfinch']","['eng', 'eng']","['Munro, Innes, -1827', 'Soldiers']","['On cover: Lieutenant Innes Munro, 71st Regiment.', 'Maps on lining papers']",1987.0,1992.0,2,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQwguN9eCngz_6uOWPcgLzx0Pdz6-AfR9g9B1d7MFSjoa2YA7Yz1Eyld_wW8A&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQE7cI_G4yQfLDw3Uw_7meEkGq8fhwq4fwXncPH0iC2I3zaAlHJ8alHcmA9uR0&s']"
David Calderwood,"['Calderwood, David,1575-1650.']",[[An epistle of a Christian brother exhorting an other to keepe himselfe vndefiled from the present corruptions brought in to the ministration of the Lords Supper.]],[1624.0],"['[Amsterdam : Successors of G. Thorp],']",['eng'],['Posture in worship'],['ESTC'],1624.0,1624.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSla_6qFpv28K-Izftlq49y0p4hs9M8DGFIpBlfTonDYsG2rNPC9ueyL0nL6Q&s']
Taro Miura,"['Miura, Taro,1968-']",[[Tools /]],[2005.0],"['San Francisco, Calif. : Chronicle Books,']",['eng'],['Tools.'],"['Originally published: Mantova : Maurizio Corraini, 2005.']",2005.0,2005.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRp_VSmopm7nNoBOpEFunCoqnbPN8_kYmQ8MFP_dsnLC2ALqsD4vCV32ipMDsk&s']
Gilbert Watson,"['Watson, Gilbert,1864-1941.']",[[Sunshine and sentiment in Portugal /]],[1904.0],"['London : E. Arnold,']",['eng'],[nan],[nan],1904.0,1904.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTAX_xjTHeX5oYkqKbK9vti5xqNGTvgikEzNGnt24Zuc03Jc8Pd9KqrViQPkw&s']
Dieter Sudhoff,"['Sudhoff, Dieter,1955-']","[[Der Bankbeamte : und andere vergessene Prosa : Erzählungen, Essays, Aufzeichnungen, Briefe /]]",[1989.0],"['Paderborn : Igel,']",['ger'],[nan],[nan],1989.0,1989.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtN5GqNRcdUlK584IF4BrKceOyShq8pRJhvw2Fzo1IjwFs3Xe-zkziHUkGHDA&s']
Sean McMahon,"['McMahon,  Seàn.', 'McMahon, Seán.', 'McMahon, Seán,1931-']","[[The story of the Claddagh ring /, The homes of Donegal /, Wolfe Tone /]]","[1997.0, 1995.0, 2001.0]","['Dublin : Mercier,', 'Dublin : Mercier Press,', 'Cork : Mercier Press,']","['eng', 'eng', 'eng']","['Claddagh rings', 'English literature', 'Revolutionaries']","['Includes bibliographical references (p. [76]-77).', 'Includes index.', 'Includes bibliographic references.']",1995.0,2001.0,3,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAGHcA98oPga8zmGvQGALVXLN9KP7QCqnxUS15jcoVFbBv1mWb-dVZWRoWRm4&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTbw7BQFsLHOjxpkHfH3fVLmhBn3S7ulf_x1Ojffa5bOPdaBSUixYEtLKA7J2M&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRKKWLf0uOSUZqUTULs84LEaMmY4Pwd1JIacrXLuEFKnKXaxVzmi0mgyxxF3A&s']"
Richard Jefferies,"['Jefferies, Richard,1848-1887.', 'Jefferies, Richard,1848-1887.']","[[The life of the fields /, Wild life in a Southern county ... /]]","[1947.0, 1939.0]","['London, ', 'London, ']","['eng', 'eng']","[nan, nan]","[nan, nan]",1939.0,1947.0,2,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSwAaMii1jBlpGoY6WGt7swCgrRNV26XEcKbEhDNIGC7yVNsvxylsjHiSXanqg&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRFR0AaNHij_XRg03oyzgClEXf0iMcX3hNqD8Jm2fYaHLip_hEihpFyUyTBtAs&s']"
John Cockburn,"['Cockburn, John,1652-1729.']","[""The dignity and duty of a married state: in a sermon, preach'd at the celebration of a marriage, in the English Episcopal church at Amsterdam. By John Cockburn, D.D.""]",[1708.0],"['London : printed for Henry Clements,']",['eng'],[nan],['ESTC'],1708.0,1708.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSVWIjM6P3lKbJIvpufWcFNqzLiB3bs-ZqfWffHtElO68yZBDSTXi3gOtPnQg&s']
Karen A. Mingst,"['Mingst, Karen A.,1947-']",[[The United States and multilateral institutions : patterns of changing instrumentality and influence /]],[1992.0],"['London : Routledge,']",['eng'],[nan],['Includes bibliographical references and index'],1992.0,1992.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQecpe_BTAsD33nJVl22roG24TSDjWjpzVdGM2Nj16WFJhWV6gohkykhQ5LuQ&s']
Bram F. Noble,"['Noble, Bram F.,1975-']",[[Introduction to environmental impact assessment : a guide to principles and practice /]],[2010.0],"['Don Mills, Ont. ; Oxford : Oxford University Press,']",['eng'],['Environmental impact analysis'],['Includes bibliographical references and index.'],2010.0,2010.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTqaRvmI7CBoNftHLjvOfuTkxXiStCMojAzYc9gRCY0WdXTrKn_-s1jEGvL8OM&s']
Frodsham Hodson,"['Hodson, Frodsham,1770-1822.']","[""A sermon, preached at St. George's Church, Liverpool, on Wednesday the 8th of March, being the day appointed for a general fast. By the Rev. Frodsham Hodson, ...""]",[1797.0],"['Liverpool : printed by J. McCreery, and sold by Crane and Jones; Fletcher and Hanwell, Oxford; and F. and C. Rivington, London,']",['eng'],[nan],['ESTC'],1797.0,1797.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSRw78TlObOZo4qd6tIdP8a_4BqOxm6UhkzO77Uhc4ihPfzmtiOfR5TLivVqA&s']
Jon McGregor,"['McGregor, Jon,1976-']",[[If nobody speaks of remarkable things /]],[2002.0],"['London : Bloomsbury,']",['eng'],['City and town life'],['Originally published: 2002.'],2002.0,2002.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUHU9ZDtIY7Aa6JclsTOfn-BLdydW1daF0bw6RkgsCqBv46GL6qpcjXg6TgA&s']
Robert Barr,"['Barr, Robert,1849-1912.', 'Barr, Robert,1849-1912.', 'Barr, Robert,1849-1912.']","[[The measure of the rule., Cardillac, etc., Tales of two continents.]]","[1909.0, 1909.0, 1920.0]","['London, ', 'London, ', 'London, ']","['eng', 'eng', 'eng']","[nan, nan, nan]","[nan, nan, nan]",1909.0,1920.0,3,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS0g1KUbMAsJyfiQgNBLJEjwkai-J_jwrnd9tz1qUldm2XndJ_2yVV3UxwRMg&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS7PZfzoo9xacBJkqaI0GVROeeU_6SDccVozau9CnPLmpijwuEbvbhowNPEW94&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5Oqij1o-0CGSskq6TvNiYl-trySxB3KEpNyLFjvoWyhzG7hDf7TYh5tk-9g&s']"
Andrew Hamilton,"['Hamilton, Andrew,1916-']","[""You're right off course doctor /""]",[1991.0],"['Long Preston : Magna Print,']",['eng'],[nan],"['First published: Tring : Lion, 1985.']",1991.0,1991.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5mnFaydu5BRaTA_jV1QdiwAY1Ay6J-niao13IPq1kZnaeowOJAOA6KDfKdA&s']
T. Ivan Berend,"['Berend, T. Iván(Tibor Iván),1930-']",[[Europe in crisis : bolt from the blue? /]],[2013.0],"['New York ; London : Routledge,']",['eng'],['Recessions'],['Includes bibliographical references and index.'],2013.0,2013.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNiLAO4FeHdA38ttXCPFUKPJVp7XGdKtPih_WKigJJUPDg2Hm4Gd3jI4MQTw&s']
Franz Werfel,"['Werfel, Franz,1890-1945.']",[[The hidden child /]],[1931.0],"['London,']",['eng'],[nan],[nan],1931.0,1931.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSLDXjn9kHrhSklP2_M4ahPzqj12DB5GZaK_2vifD4e0Kcd6fV87oxeTwELNQ&s']
Robert C. Jenkins,"['Jenkins, Robert C.(Robert Charles),1815-1896.']","[[The last crusader: or The life and times of Cardinal Julian, of the House of Cesarini. A historical sketch.]]",[1861.0],"['London, ']",['eng'],[nan],[nan],1861.0,1861.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTV4LqJZCaEvG0EXPVFkxsc5skCgnAhSUWipL0sfIQFYXpFrclJ1JTTcGoMg&s']
Thomas Edwards,"['Edwards, Thomas,1729-1785.']","[[A sermon, preached in the Parish church of St. Michael, in Coventry, on February 6, 1756. ... By Thomas Edwards, ...]]",[1756.0],"['Coventry : printed by T. Luckman, and sold by B. Dod, London,']",['eng'],[nan],['ESTC'],1756.0,1756.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRCbxP6L2UPX34HqP2J3XQ5FNrBi-aW61pfS_KkhN5vpjVATgCkPoZjDopsIPk&s']
Jean Mestrezat,"['Mestrezat, Jean,1592-1657.']","[""Nouveau Traité de la Devotion ... Avec des Prieres et Meditations tissües des passages de l'Ecriture pour les saints martirs /""]",[1687.0],"['Amsterdam : Chez P. Mortier,']",['fre'],[nan],['Each part has a separate titlepage.'],1687.0,1687.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQK1NNMJXis7iSFBNwNjz2OzQQBuK7e4IQiINp0ICWAc5aWbIqjaDSjjZYlcwM&s']
Levi Frisbie,"['Frisbie, Levi,1748-1806.']","[""An eulogy on the illustrious character of the late General George Washington, commander in chief of all the armies of the United States of America: who died on Saturday, the 14th of December, 1799. Delivered at Ipswich, on the 7th day of January, 1800. By Levi Frisbie, A.M. Minister of the Gospel in the First Parish of said town. Published by desire of the hearers. [Two lines of quotations] To which is added General Washington's parental and affectionate address to his country, declining their future suffrages for the presidency.""]",[1800.0],"['Printed at Newburyport [Mass.] : by Edmund M. Blunt,']",['eng'],[nan],['Microfilm.'],1800.0,1800.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_OubSN1G_itNXOqS7tR6uM0u3J83ZiJnfHLZ8Xxd5S7QS7VpydTmn45T_6g&s']
Vernon Lee,"['Lee, Vernon,1856-1935.']",[[Limbo and other essays. To which is now added Ariadne in Mantua /]],[1908.0],"['London & New York,']",['eng'],[nan],[nan],1908.0,1908.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQsTrTifW34_eAAHAVdRpACgAeqLli0y9VQxu9QIgb30SJzQ_t_cE2tdGy8Ew&s']
Alfred MilnerViscount Milner,"['Milner, Alfred Milner,Viscount,1854-1925.']","[""The crisis in South Africa, some answers from authoritative sources, to Sir A. Milner's reflections upon colonial loyalty. Issued by friends of South Africa in the interests of truth.""]",[1899.0],"['London,']",['eng'],[nan],[nan],1899.0,1899.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRPGQXMStNx02Gx1N8_N1NvaRzFKRh_zljAo-DeBDuNisDSH04S8iUET93q_n0&s']
Henry James,"['James, Henry,1843-1916.', 'James, Henry,1843-1916.', 'James, Henry,1843-1916.', 'James, Henry,1843-1916.', 'James, Henry,1843-1916.']","[[What Maisie knew., The Madonna of the future, and other tales., The Europeans., The Aspern papers. Louisa Pallant. The modern warning., Within the rim, and other essays, 1914-15.]]","[1898.0, 1880.0, 2010.0, 1888.0, 1918.0]","['London, ', 'London,', 'Penguin,', 'London,', 'London,']","['eng', 'eng', 'eng', 'eng', 'eng']","[nan, nan, nan, nan, nan]","[nan, nan, 'Originally published: 1995.', nan, nan]",1880.0,2010.0,5,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNSrXSp58845obR4KEa7CVGr0LgDNmHWCpauqKeKb6TZnchXgJIRuh2N35XGg&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_SLHkcDFcevQzNE6p0kf-6TYo6QyowX9eYp8HJ6PLAItOOU-MCH4254f-Mw&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQfisDXtC6kDtu70DV3zO9Kn4ufH_9nscg31cfeZ4p8P2OSLDtFXfseFEKirA&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTpVrgfwhJLvFpho8ZlYkIdCkLQewohp-PoFTxliB7j7aWkVRjk0S-9wLWrKA&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQm3FeFj8DoXTU4Wf4tJ9UpJe0U03jpuqXcmQjEKKoYnAjV5bK2_xzuJJbs9go&s']"
